AdmArea,District,EDU_NAME,OGE_SCORE,YEAR,global_id
Западный административный округ,район Кунцево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1293»,152,2016-2017,797372569
Западный административный округ,район Кунцево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1584»,122,2016-2017,797372624
Западный административный округ,район Кунцево,Частное учреждение общеобразовательная организация средняя общеобразовательная школа с углубленным изучением английского языка «Интеграция»,5,2016-2017,797372694
Западный административный округ,Можайский район,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Западный комплекс непрерывного образования»,38,2016-2017,797372721
Западный административный округ,район Ново-Переделкино,Государственное бюджетное учреждение города Москвы «Комплексный реабилитационно - образовательный центр» Департамента труда и социальной защиты населения города Москвы,0,2016-2017,797372759
Западный административный округ,район Очаково-Матвеевское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 814»,112,2016-2017,797372833
Западный административный округ,район Очаково-Матвеевское,Общеобразовательная автономная некоммерческая организация средняя общеобразовательная школа «Образование плюс...I»,17,2016-2017,797372898
Западный административный округ,район Проспект Вернадского,Негосударственное образовательное частное учреждение средняя общеобразовательная школа «ЮДЖИН-ЦЕНТР»,13,2016-2017,797372961
Западный административный округ,район Тропарёво-Никулино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1317»,57,2016-2017,797373026
Западный административный округ,район Тропарёво-Никулино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 843»,92,2016-2017,797373083
Западный административный округ,район Филёвский Парк,Государственное бюджетное общеобразовательное учреждение города Москвы «Образовательный центр «Протон»,48,2016-2017,797373137
Северный административный округ,район Аэропорт,Общеобразовательное частное учреждение «Новая гуманитарная школа»,15,2016-2017,797373197
Северный административный округ,район Западное Дегунино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1125 имени Я.Н. Федоренко»,37,2016-2017,797373284
Восточный административный округ,район Богородское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1349»,13,2016-2017,797373348
Восточный административный округ,район Богородское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 386»,27,2016-2017,797373407
Восточный административный округ,район Вешняки,Частное учреждение общеобразовательная организация «Московская интернациональная школа «Планета»,5,2016-2017,797373474
Восточный административный округ,район Восточное Измайлово,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московское среднее специальное училище олимпийского резерва № 1 (техникум)» Департамента физической культуры и спорта города Москвы,27,2016-2017,797373536
Восточный административный округ,район Гольяново,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1516»,61,2016-2017,797373604
Восточный административный округ,район Гольяново,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1352»,161,2016-2017,797373692
Восточный административный округ,район Гольяново,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 319»,84,2016-2017,797373759
Восточный административный округ,район Ивановское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 400»,6,2016-2017,797373820
Восточный административный округ,район Измайлово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2094»,63,2016-2017,797373882
Восточный административный округ,район Измайлово,Государственное бюджетное общеобразовательное учреждение города Москвы центр образования № 1483,12,2016-2017,797373942
Восточный административный округ,район Перово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 423»,47,2016-2017,797374000
Восточный административный округ,район Преображенское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1080»,67,2016-2017,797374057
Восточный административный округ,район Преображенское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1505 «Преображенская»,165,2016-2017,797374105
Восточный административный округ,район Северное Измайлово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1748 «Вертикаль»,132,2016-2017,797374191
Восточный административный округ,район Северное Измайлово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 399»,23,2016-2017,797374269
Восточный административный округ,район Соколиная Гора,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 446»,13,2016-2017,797374339
