ID,EDU_NAME,global_id,YEAR,AdmArea,District,PASSES_OVER_220,PASSER_UNDER_160
13003,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1560 «Лидер»,2603023666,2022-2023,Северо-Западный административный округ,район Хорошёво-Мнёвники,82,158
13004,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1621 Древо Жизни»,2603023667,2022-2023,Центральный административный округ,Басманный район,1,6
13005,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2107»,2603023668,2022-2023,Центральный административный округ,Мещанский район,181,277
13006,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский колледж бизнес-технологий»,2603023669,2022-2023,Центральный административный округ,Пресненский район,0,1
13007,Автономная некоммерческая общеобразовательная организация «Центр интенсивных технологий образования»,2603023670,2022-2023,Центральный административный округ,Таганский район,28,47
13008,Общеобразовательное частное учреждение «Школа Сотрудничества»,2603023671,2022-2023,Центральный административный округ,Таганский район,27,33
13009,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный лингвистический университет»,2603023673,2022-2023,Центральный административный округ,район Хамовники,78,95
13010,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1363»,2603023674,2022-2023,Юго-Восточный административный округ,район Выхино-Жулебино,84,165
13011,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 460 имени дважды Героев Советского Союза А.А. Головачёва и С.Ф. Шутова»,2603023675,2022-2023,Юго-Восточный административный округ,район Люблино,31,66
13012,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2089»,2603023676,2022-2023,Юго-Восточный административный округ,район Некрасовка,57,127
13013,Частное учреждение общеобразовательная организация «Татьянинская школа»,2603023677,2022-2023,Юго-Восточный административный округ,Нижегородский район,6,12
13014,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 536»,2603023678,2022-2023,Юго-Западный административный округ,район Зюзино,17,29
13015,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 17»,2603023679,2022-2023,Юго-Западный административный округ,район Коньково,43,98
13016,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 121»,2603023680,2022-2023,Юго-Западный административный округ,Обручевский район,10,20
13017,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1948 «Лингвист-М»,2603023681,2022-2023,Юго-Западный административный округ,район Черёмушки,32,71
13018,Общеобразовательное частное учреждение «Газпром школа»,2603023682,2022-2023,Юго-Западный административный округ,район Черёмушки,26,34
13019,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1981»,2603023684,2022-2023,Юго-Западный административный округ,район Южное Бутово,34,81
13020,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1512 имени Героя Советского Союза Алии Молдагуловой»,2603023685,2022-2023,Восточный административный округ,район Вешняки,27,88
13021,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1502 «Энергия»,2603023686,2022-2023,Восточный административный округ,район Ивановское,245,344
13022,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2031»,2603023687,2022-2023,Восточный административный округ,район Косино-Ухтомский,45,92
